company_name,hq_country,industry,description
Tookey.io,Spain,Spain,"Blockchain Services, Cryptocurrecny, Cyber Security, FinTech"
The Marvelous Brand,Spain,Spain,"E-commerce, Retail, Fashion, Film"
TECO Global Mobility,Spain,Spain,"Mobility, Micromobility, Electric Vehicles, Software"
Taxicoin,Spain,Spain,"Apps, Blockchain, Tax Service, Technology"
Tasker Army,Spain,Spain,"Advertising Services, Web Development, Graphic Design, Copywriting"
Sumer,Spain,Spain,"Blockchain Services, Analytics, Developers Tools"
Solved,Spain,Spain,"Software Development, SaaS, Industrial Manufacturing, Food and Beverage"
Smartur,Spain,Spain,"Furniture, Home Furnishings, Manufacturing, Hardware"
Silvia Lago,Spain,Spain,"Handmade, Manufacturing, Retail, Shoes"
Signalit,Spain,Spain,"Cloud Computing, IT, INternet, Information"
Sidra,Spain,Spain,"data platform, big data, data mesh, Machine Learning"
Servicialsoy,Spain,Spain,"service industry, WaaS, Services marketplace, staffing agency"
Saldados,Spain,Spain,"Legal Services, second chance law, eliminate debt, legaltech"
Rozett.ai,Spain,Spain,"Web3, Metaverse, 3D Fashion, Blockchain"
REVER,Spain,Spain,"E-commerce, Online Portals, Software, Retail"
QR-Payments,Spain,Spain,"Hospitality, Mobile Payments, Finance"
Praefy,Spain,Spain,"Real State, SaaS, Software Development"
Point Pressure,Spain,Spain,"Medical Equipment, Manufacturing, Helathcare, Professional Services"
Petinder.online,Spain,Spain,"Animals & Pets, Pet shelters, Pet hotels, Pets adoption"
Perif.ai,Spain,Spain,"Artificial Intelligence, IT, InsureTech, Software"
Palup,Spain,Spain,"Events Services, Mobile Apps, Social Platform"
Ourspace,Spain,Spain,"SaaS, Organizational design, People planning, Team collaboration"
Open Games Builders,Spain,Spain,"Blockchain, Web 3.0, NFT Game, Marketplace"
Onversed,Spain,Spain,"fashion tech, digital, 3D, metaverse"
OneTel,Spain,Spain,"telecommunications, fiber, mobile, voip"
Niubi Studios,Spain,Spain,"UI/UX Design, SEO, Cloud, Data Analytics"
niid,Spain,Spain,"Lifestyle Services, Personal Concierge, Personal Assistance, Talent Benefits"
Neuronik,Spain,Spain,"Human Resource, Software, Mental health platform, Artificial intelligence"
Nen,Spain,Spain,"Child Care, Gamification, Health Care, Digital Health"
Muse Scene Lab,Spain,Spain,"Education, EdTech, Music, Music Education"
Motive.co,Spain,Spain,"eCommerce, Product Search, Search ENgine, Enterprise Software"
METAWORLDS,Spain,Spain,"Computer Games, game development, mobilegames, blockchain"
MedBrain,Spain,Spain,"Health Care, Health Diagnostics, Medical"
Manax,Spain,Spain,"Technology, Information, Internet"
Lumo,Spain,Spain,"Real Estate, Property Management, Rental"
Levelab Technologies,Spain,Spain,"E-learning, EdTech, Education, STEM Education"
Legal 70,Spain,Spain,"Business Consulting, Services, Legal"
Leben Proyectos,Spain,Spain,"conditioning projects, Aerothermal, Fire protection"
Learn DAO,Spain,Spain,"blockchain, metaverse, web 3, NFT"
LeapWave Technologies,Spain,Spain,"Radio Frequency, Photonics, Electronics"
Latitude,Spain,Spain,"Software Development, Data Apps, Design, collaborative"
Lantadu Solar,Spain,Spain,"Renewable Energy, Semiconductor, Manufacturing, B2B"
KURIO,Spain,Spain,"Blockchain Services, 3D Printing, Jewelry"
Jolt Electrodes,Spain,Spain,"Renewable Energy, Equipment Manufacturing, Clean Energy, Chemical"
Jointy,Spain,Spain,"Fashion, Marketplace, Technology, Information"
iris + arlo,Spain,Spain,"Health, Wellness, Fitness"
Invisipay,Spain,Spain,"Financial Services, Mobile Payments, Payments"
Ossby Folding Bikes,Spain,Spain,"Folding bike, ebike, bikes"
ibero.app,Spain,Spain,"Software, Payment Gateway, Lean Six Sigma, Lean"
Humesol,Spain,Spain,"Construction, E-commerce, Online Portals"
Houzit,Spain,Spain,"Proptech, Real Estate, Rental Property"
HotelManager,Spain,Spain,"SaaS, Hospiltality, Industry"
Host Box Online,Spain,Spain,"Technology, Information, Internet"
Honei,Spain,Spain,"Hospitality, Restaurants, CRm, QR Code"
Homter,Spain,Spain,"Online Mortgage Broker, FinTech, Rental, Real State"
Homeros,Spain,Spain,"luxury real estate, hospitality, customer experience"
Holders&Brothers,Spain,Spain,"Finance Services, Investments, Cryptocurrency, Advice"
Heskouri Calidad,Spain,Spain,"Business Consulting, Services, Software Validation"
Gretel.co,Spain,Spain,"Software Development, Saas, Company Communication"
Graniot,Spain,Spain,"Agritech, Satellite Monitoring, Agtech, Apps"
Floggy,Spain,Spain,"Technology, Information, Internet"
Flobers,Spain,Spain,"Renewable Energy, crowdfunding, crowdlending, Investment Management"
Fiuter,Spain,Spain,"Software Development, Machine Learning, Ecommerce, Artificial Intelligence"
Eventgow,Spain,Spain,"ANdroid, IOS, Mobile Apps, Software"
EOXSense,Spain,Spain,"Biotechnology Research, Healthcare, IT"
El Regimiento,Spain,Spain,"Mens Clothing, Retail, Fashion"
Dratio,Spain,Spain,"data, analytics, machine learning, artificial intelligence,"
Doki App,Spain,Spain,"Healthcare, Medical, Personal Health"
Digital Earth Solutions,Spain,Spain,"Environmental Services, Ocean Dynamics, Oil Spill Modelling, Deep Tech"
Deseos App,Spain,Spain,"Mobile App, Technology, Information, Internet"
Descorchify,Spain,Spain,"Retail, E-commerce, Subcription Services"
Deko Data,Spain,Spain,"Artificial Intelligence, Analytics, Big Data, Cloud"
Deep Design Systems,Spain,Spain,"Artificial Intelligence, Synthetic Design, Machine Learning"
Dawa,Spain,Spain,"ecommerce, internet, returns, operations, logistics"
Dataknit,Spain,Spain,"Software Development, ai, survey, cms"
CYCLE PLATFORM,Spain,Spain,"Fashion, E-commerce, Retail Apparel"
CULTZYME,Spain,Spain,"Biotechnology Research, Robotics, Software"
Crescenta,Spain,Spain,"Asset Management, Credit, Funding Platform, Software"
Coolx,Spain,Spain,"AI, Satellite Technology, Forest Engineering, Environmental Services"
Concierge Friend,Spain,Spain,"Apps, Hotel, Tourism, Travel"
Commerce Partners,Spain,Spain,"Wholesale Import, Export, Shipping, Logistics"
CLIMATECOIN,Spain,Spain,"Environmental Services, Asset Management, Blockchain"
Clauteck,Spain,Spain,"Shopping, Retail, Locksmith"
Ciudadela,Spain,Spain,"real estate, property management, residential"
Cambiador de palabras,Spain,Spain,"Education, Social Media, Writing, Editing"
Borderless Money,Spain,Spain,"Consulting, Finance, Financial Services"
Boorie.ai,Spain,Spain,"Blockchain, Software, Water"
Bioeureka,Spain,Spain,"Medical device, Biotechnology, Biochemistry"
Beleaf,Spain,Spain,"Mobile App, Social Network, Photo, Video"
Beetested,Spain,Spain,"Computer Games, Artificial Intelligence, Video"
Banktrack,Spain,Spain,"Financial Services, messaging app, Banking"
Bakarts,Spain,Spain,"NFT, Art, Culture, marketplace"
Autocaravanas,Spain,Spain,"Rental, Camper Van, Services Compliment"
ARZE,Spain,Spain,"Retail Apparel, Fashion, Design"
ARA REFORMAS EUSKADI,Spain,Spain,"Architecture, interior design, economic reform services, Home Improvement"
ApeSpace,Spain,Spain,"Financial Services, Analytics, Crypto"
Anviz,Spain,Spain,"Biometric, Surveillance, RFID, Access Control"
Amaxwire news & press release distribution,Spain,Spain,"pr, public relations, marketing"
Alimenttos,Spain,Spain,"Software Development, Farmers Market, Food, Beverage"
AlÂ·lucinant Studio,Spain,Spain,"Marketing Services, website development, social media, legal marketing"
Airlingo,Spain,Spain,"SaaS, B2b, AI, Langauge Learning"
Jungle21,Spain,Spain,"Creative Agency, Advertising Services, Creativity, Consulting"
Singularly,Spain,Spain,"Artificial Intelligence, Enterprise Software, Retail Technology, SaaS"
Techaway Technologies,Spain,Spain,"Computer, Information Technology, Rental"
Aparkalo,Spain,Spain,"Marketplace, Rental Property, Real Estate"
Datarmony,Spain,Spain,"Artificial Intelligence, Machine Learning, Business Consulting"
Bemycar,Spain,Spain,"Automotive, Mobility"
Vacant,Spain,Spain,"E-Commerce, Fashion, Shoes"
Scoutim,Spain,Spain,"Events, Sports"
Master Me Up,Spain,Spain,"Education, Social Entrepreneurship, Training"
Wwave,Spain,Spain,"Energy, Renewable Energy"
xNova International,Spain,Spain,"Analytics, Big Data, Business Intelligence"
Metrickal,Spain,Spain,"Consulting, Software, Outsourcing"
Crowmie,Spain,Spain,"Blockchain, Clean Energy, CleanTech, FinTech"
Threat Jammer,Spain,Spain,"Cyber Security, Fraud Detection, Software"
Intemic,Spain,Spain,"Design, Optimize, Platform"
Komi,Spain,Spain,Food and Beverage Services
Gretel,Spain,Spain,"B2B, Software Development, Company Communication"
Girafe Mentoring,Spain,Spain,"Data Science, Mentorship, Job landing"
Gaia,Spain,Spain,"Blockchain, Pioneer, Green Technologies"
Setroc,Spain,Spain,"Furniture, Home Furnishings Manufacturing, Smart Lockers"
Biuwer,Spain,Spain,"Business Intelligence, Big Data, Data Analysis, Dashboards"
Viridis,Spain,Spain,"Environmental Services, Digital Product, Eco-friendly products"
Yumminn,Spain,Spain,"Foodtech, Restaurants, Financial services"
Techaway,Spain,Spain,"Tech, rent, IT"
WiPass,Spain,Spain,"wifi, establishment, internet"
Training Experience,Spain,Spain,"Recruitment, Blockchain, SaaS, Consulting"
Doki,Spain,Spain,"Technology, Helathcare, Medical"
Recycap Technologies,Spain,Spain,"Recycling, Service Industry, Automation"
QRfy,Spain,Spain,"Qr Code, Software As A Service, QR Codes"
Tronando,Spain,Spain,"Internet News, Tech, Digital"
The Hist,Spain,Spain,"Newspaper Publishing, Communication, Streaming, Blockchain"
Swap Your Travel,Spain,Spain,"Travel Arrangements, Transportation, digital platform"
Sustonica,Spain,Spain,"Hospitality, sustainability, tourism, vacation rentals"
SimSkills,Spain,Spain,"Professional Training, Coaching, SaaS"
Rozett,Spain,Spain,"Web3, Metaverse, 3D Fashion, Blockchain"
MyGreen,Spain,Spain,"Product Design, Product Formulation, Advertising, Communication"
Medea Mind,Spain,Spain,"Mental Health Care, SaaS, e-health"
Lexy,Spain,Spain,"Advertising Services, artificial intelligence, social media content"
Les Amis,Spain,Spain,"Social Networking, Platforms, Marketplace"
Laurel Gaming,Spain,Spain,"Entertainment, videogames, rewards, social apps"
jolders,Spain,Spain,"blockchain, metaverse, social, media"
Invite,Spain,Spain,"mobile app, digital, tech"
Huru Ventures,Spain,Spain,"Computer Games, blockchain, finance"
Hub4Retail,Spain,Spain,"Data Infrastructure, Analytics, SaaS, Retail"
Flamme,Spain,Spain,"Consumer Services, Couples App, Relationships"
Hunger Brands,Spain,Spain,"Food, Beverage Services, Food delivery, Digital"
MPL XR Company,Spain,Spain,"XR, Immerisve, technology, SaaS"
Kavan Health,Spain,Spain,"Mental Health, Software, Marketplace"
3dthinks,Spain,Spain,"Software, 3d printing, distributive manufacturing"
Year One Partners,Spain,Spain,"International, Market, Entry, Advisory"
StMetric,Spain,Spain,"metrics, marketing, analytics"
Capboard,Spain,Spain,"legal tech, equity management software, equity plan, cap table"
ICARUS DRONE SYSTEMS,Spain,Spain,"drone, services, innovation, agrotech"
Quasar Labs,Spain,Spain,"Blockchain, Cosmos, Defi, Tendermint"
